Time,Vin,Filtre1,Filtre2,Cnt,Cnt1,Cnt2
0,865,865,865,361,9,10
0.5,866,866,865,385,9,10
1.0,863,865,864,408,9,10
1.5,865,865,865,443,9,10
2.0,866,865,865,475,9,10
2.5,865,865,864,493,9,10
3.0,866,865,865,521,9,10
3.5,865,865,865,531,9,10
4.0,866,865,865,565,9,10
4.5,859,859,859,600,10,11
5.0,858,855,854,600,10,11
5.5,867,866,866,657,23,16
6.0,902,902,902,689,25,18
6.5,975,973,973,731,29,22
7.0,1227,1221,1220,781,45,38
7.5,1377,1375,1375,839,54,47
8.0,1451,1451,1451,877,59,52
8.5,1471,1471,1471,944,70,57
9.0,1518,1518,1518,979,77,62
9.5,1535,1535,1535,1042,86,65
10.0,1575,1575,1574,1080,93,72
10.5,1594,1592,1592,1081,94,73
11.0,1619,1617,1616,1133,96,75
11.5,1630,1629,1629,1137,96,75
12.0,1643,1645,1645,1230,103,78
12.5,1651,1652,1652,1367,118,85
13.0,1673,1671,1670,1380,119,86
13.5,1680,1679,1680,1473,127,87
14.0,1651,1652,1652,1367,118,85
14.5,1673,1671,1670,1380,119,86
15.0,1680,1679,1680,1473,127,87
15.5,1693,1693,1693,1491,136,87
16.0,1703,1703,1703,1584,145,94
16.5,1712,1711,1711,1641,145,94
17.0,1721,1723,1723,1657,146,95
17.5,1735,1735,1735,1744,159,102
18.0,1746,1746,1746,1757,162,103
18.5,1755,1754,1754,1759,162,103
19.0,1761,1762,1762,1854,171,106
19.5,1776,1776,1776,1885,174,107
20.0,1783,1782,1782,1895,178,107
20.5,1799,1798,1798,1904,179,108
21.0,1819,1820,1821,1919,180,109
21.5,1840,1839,1839,2041,187,114
22.0,1849,1847,1847,2053,194,117
22.5,1860,1858,1857,2118,201,120
23.0,1863,1864,1864,2124,201,120
23.5,1871,1870,1870,2152,201,120
24.0,1879,1878,1878,2187,202,121
24.5,1888,1886,1886,2192,202,121
25.0,1889,1891,1891,2272,213,126
25.5,1901,1901,1901,2280,213,126
26.0,1909,1906,1905,2441,218,131
26.5,1914,1912,1912,2441,218,131
27.0,1925,1927,1927,2478,221,132
27.5,1943,1943,1943,2539,226,133
28.0,1954,1954,1953,2610,231,136
28.5,1966,1965,1965,2620,231,136
29.0,1982,1982,1982,2665,232,137
29.5,1991,1989,1989,2800,235,140
30.0,2034,2032,2032,2839,238,143
30.5,2054,2054,2055,2954,255,150
31.0,2102,2101,2101,2995,262,153
31.5,2137,2139,2139,3009,264,155
32.0,2158,2156,2156,3052,267,158
32.5,2213,2213,2213,3100,275,162
33.0,2277,2277,2277,3130,279,166
33.5,2321,2320,2320,3179,286,171
34.0,2396,2395,2394,3227,290,175
34.5,2559,2559,2559,3267,302,187
35.0,2702,2701,2701,3305,311,196
35.5,2805,2806,2805,3382,322,203
36.0,2855,2855,2855,3429,325,208
36.5,2879,2878,2878,3452,326,209
